Word,Count,Social_Media
fee,8,Facebook
feed,28,Facebook
feeding,4,Facebook
feeds,4,Facebook
feel,64,Facebook
feeling,11,Facebook
feelings,15,Facebook
feels,4,Facebook
fees,24,Facebook
feet,4,Facebook
feigned,4,Facebook
fell,4,Facebook
fellarca,4,Facebook
fellow,7,Facebook
female,12,Facebook
females,11,Facebook
femdom,4,Facebook
feminine,11,Facebook
femininity,21,Facebook
feminising,4,Facebook
feminism,27,Facebook
feminist,4,Facebook
feminists,11,Facebook
feminity,4,Facebook
feminize,4,Facebook
feminizing,8,Facebook
fi,4,Facebook
fibbed,4,Facebook
fibbing,4,Facebook
fictitious,4,Facebook
field,3,Facebook
fight,29,Facebook
fighting,8,Facebook
figueroa,4,Facebook
figure,11,Facebook
figures,4,Facebook
filed,4,Facebook
fill,4,Facebook
filled,7,Facebook
finally,4,Facebook
financial,4,Facebook
find,35,Facebook
fine,72,Facebook
finest,4,Facebook
finger,8,Facebook
fire,15,Facebook
fired,11,Facebook
firm,3,Facebook
firmly,3,Facebook
first,52,Facebook
fiscally,4,Facebook
fish,4,Facebook
fit,8,Facebook
fits,4,Facebook
five,6,Facebook
fix,4,Facebook
flames,3,Facebook
flash,4,Facebook
flat,3,Facebook
flaw,3,Facebook
flew,3,Facebook
flexible,4,Facebook
flipside,4,Facebook
flowers,3,Facebook
flows,3,Facebook
flushed,4,Facebook
fly,4,Facebook
flying,4,Facebook
fo,4,Facebook
focused,3,Facebook
focusing,4,Facebook
folks,31,Facebook
follow,31,Facebook
followed,3,Facebook
followers,18,Facebook
following,15,Facebook
follows,4,Facebook
fondness,4,Facebook
foo,4,Facebook
food,20,Facebook
fool,19,Facebook
fooled,4,Facebook
foot,8,Facebook
forbid,10,Facebook
